Mês;Mês2;GR;N.PoscB;PoscB;Rul.Pos;Posc;N.ResB;Posc2;Cod1;CodG;6810/910;6810/911;Coef_Fre;RecDe;RecIz;Coluna1;Coluna2
200623;200623104;I;29;31;0;1;7;32;I,29,1;I,29,1,7;,;2006;-30,5;;1;;
201215;201215018;I;21;6;0;1;7;32;I,21,1;I,21,1,7;,;2012;-5,5;;26;;
200617;200617033;D;30;16;0;1;8;17;D,30,1;D,30,1,8;,;2006;-15,5;36;;;
201216;201216045;D;19;4;0;1;8;17;D,19,1;D,19,1,8;,;2012;-3,5;24;;;
200722;200722020;I;7;32;0;1;8;17;I,7,1;I,7,1,8;,;2007;-31,5;;22;;
201208;201208050;I;21;6;0;1;8;17;I,21,1;I,21,1,8;,;2012;-5,5;;11;;
200609;200609138;D;17;9;0;1;9;28;D,17,1;D,17,1,9;,;2006;-8,5;18;;;
200624;200624011;D;17;9;0;1;9;28;D,17,1;D,17,1,9;,;2006;-8,5;18;;;
200625;200625007;D;25;8;0;1;9;28;D,25,1;D,25,1,9;,;2006;-7,5;17;;;
200704;200704061;D;36;14;0;1;9;28;D,36,1;D,36,1,9;,;2007;-13,5;23;;;
200708;200708037;D;10;19;0;1;9;28;D,10,1;D,10,1,9;,;2007;-18,5;28;;;
200728;200728086;I;12;34;0;1;9;28;I,12,1;I,12,1,9;,;2007;-33,5;;31;;
201222;201222028;I;19;4;0;1;9;28;I,19,1;I,19,1,9;,;2012;-3,5;;24;;
200625;200625105;D;34;10;0;1;10;19;D,34,1;D,34,1,10;,;2006;-9,5;28;;;
200627;200627065;D;6;11;0;1;10;19;D,6,1;D,6,1,10;,;2006;-10,5;29;;;
200602;200602039;I;26;37;0;1;10;19;I,26,1;I,26,1,10;,;2006;-36,5;;19;;
200602;200602053;I;35;35;0;1;10;19;I,35,1;I,35,1,10;,;2006;-34,5;;21;;
200622;200622044;I;28;33;0;1;10;19;I,28,1;I,28,1,10;,;2006;-32,5;;23;;
200704;200704076;I;18;30;0;1;10;19;I,18,1;I,18,1,10;,;2007;-29,5;;26;;
201211;201211072;I;4;5;0;1;10;19;I,4,1;I,4,1,10;,;2012;-4,5;;14;;
200610;200610018;D;30;16;0;1;11;15;D,30,1;D,30,1,11;,;2006;-15,5;1;;;
200712;200712089;D;11;15;0;1;11;15;D,11,1;D,11,1,11;,;2007;-14,5;0;;;
200601;200601124;I;28;33;0;1;11;15;I,28,1;I,28,1,11;,;2006;-32,5;;19;;
200625;200625050;I;28;33;0;1;11;15;I,28,1;I,28,1,11;,;2006;-32,5;;19;;
200706;200706110;I;18;30;0;1;11;15;I,18,1;I,18,1,11;,;2007;-29,5;;22;;
200729;200729098;I;12;34;0;1;11;15;I,12,1;I,12,1,11;,;2007;-33,5;;18;;
200626;200626039;D;27;12;0;1;12;34;D,27,1;D,27,1,12;,;2006;-11,5;15;;;
200731;200731055;D;36;14;0;1;12;34;D,36,1;D,36,1,12;,;2007;-13,5;17;;;
200616;200616106;I;12;34;0;1;12;34;I,12,1;I,12,1,12;,;2006;-33,5;;0;;
200710;200710116;I;29;31;0;1;12;34;I,29,1;I,29,1,12;,;2007;-30,5;;3;;
200717;200717018;I;31;27;0;1;12;34;I,31,1;I,31,1,12;,;2007;-26,5;;7;;
200802;200802016;I;18;30;0;1;12;34;I,18,1;I,18,1,12;,;2008;-29,5;;4;;
201215;201215044;I;19;4;0;1;12;34;I,19,1;I,19,1,12;,;2012;-3,5;;30;;
201217;201217052;I;21;6;0;1;12;34;I,21,1;I,21,1,12;,;2012;-5,5;;28;;
200607;200607034;D;21;6;0;1;13;13;D,21,1;D,21,1,13;,;2006;-5,5;30;;;
200601;200601142;I;7;32;0;1;13;13;I,7,1;I,7,1,13;,;2006;-31,5;;18;;
200630;200630040;I;29;31;0;1;13;13;I,29,1;I,29,1,13;,;2006;-30,5;;19;;
200722;200722054;I;12;34;0;1;13;13;I,12,1;I,12,1,13;,;2007;-33,5;;16;;
201227;201227018;I;21;;0;1;13;13;I,21,1;I,21,1,13;,;2012;0,5;;13;;
200630;200630009;D;34;10;0;1;14;26;D,34,1;D,34,1,14;,;2006;-9,5;21;;;
200722;200722099;D;27;12;0;1;14;26;D,27,1;D,27,1,14;,;2007;-11,5;23;;;
200705;200705062;I;22;29;0;1;14;26;I,22,1;I,22,1,14;,;2007;-28,5;;34;;
200712;200712114;I;3;36;0;1;14;26;I,3,1;I,3,1,14;,;2007;-35,5;;27;;
200703;200703107;D;6;11;0;1;15;3;D,6,1;D,6,1,15;,;2007;-10,5;8;;;
200705;200705047;D;11;15;0;1;15;3;D,11,1;D,11,1,15;,;2007;-14,5;12;;;
200708;200708013;D;27;12;0;1;15;3;D,27,1;D,27,1,15;,;2007;-11,5;9;;;
200725;200725089;D;27;12;0;1;15;3;D,27,1;D,27,1,15;,;2007;-11,5;9;;;
201208;201208081;D;21;6;0;1;15;3;D,21,1;D,21,1,15;,;2012;-5,5;3;;;
200607;200607045;I;3;36;0;1;15;3;I,3,1;I,3,1,15;,;2006;-35,5;;4;;
200723;200723112;I;12;34;0;1;15;3;I,12,1;I,12,1,15;,;2007;-33,5;;6;;
210105;210105075;D;15;3;0;1;16;22;D,15,1;D,15,1,16;,;2101;-2,5;18;;;
200606;200606075;I;35;35;0;1;16;22;I,35,1;I,35,1,16;,;2006;-34,5;;24;;
200710;200710092;I;14;26;0;1;16;22;I,14,1;I,14,1,16;,;2007;-25,5;;33;;
200623;200623107;D;25;8;0;1;17;9;D,25,1;D,25,1,17;,;2006;-7,5;36;;;
200627;200627053;D;17;9;0;1;17;9;D,17,1;D,17,1,17;,;2006;-8,5;0;;;
201220;201220057;D;19;4;0;1;17;9;D,19,1;D,19,1,17;,;2012;-3,5;32;;;
200625;200625056;I;28;33;0;1;17;9;I,28,1;I,28,1,17;,;2006;-32,5;;13;;
200703;200703024;I;12;34;0;1;17;9;I,12,1;I,12,1,17;,;2007;-33,5;;12;;
200703;200703078;I;29;31;0;1;17;9;I,29,1;I,29,1,17;,;2007;-30,5;;15;;
200717;200717008;I;28;33;0;1;17;9;I,28,1;I,28,1,17;,;2007;-32,5;;13;;
200725;200725060;I;29;31;0;1;17;9;I,29,1;I,29,1,17;,;2007;-30,5;;15;;
200802;200802006;I;12;34;0;1;17;9;I,12,1;I,12,1,17;,;2008;-33,5;;12;;
201102;201102029;D;19;4;0;1;18;30;D,19,1;D,19,1,18;,;2011;-3,5;11;;;
200725;200725048;I;3;36;0;1;18;30;I,3,1;I,3,1,18;,;2007;-35,5;;31;;
200602;200602036;D;27;12;0;1;19;4;D,27,1;D,27,1,19;,;2006;-11,5;8;;;
200617;200617055;D;19;4;0;1;19;4;D,19,1;D,19,1,19;,;2006;-3,5;0;;;
200706;200706059;D;30;16;0;1;19;4;D,30,1;D,30,1,19;,;2007;-15,5;12;;;
200729;200729025;D;27;12;0;1;19;4;D,27,1;D,27,1,19;,;2007;-11,5;8;;;
201229;201229023;D;19;4;0;1;19;4;D,19,1;D,19,1,19;,;2012;-3,5;0;;;
200806;200806024;I;7;32;0;1;19;4;I,7,1;I,7,1,19;,;2008;-31,5;;9;;
200613;200613081;D;34;10;0;1;20;25;D,34,1;D,34,1,20;,;2006;-9,5;22;;;
200712;200712103;D;13;13;0;1;20;25;D,13,1;D,13,1,20;,;2007;-12,5;25;;;
201226;201226003;D;25;8;0;1;20;25;D,25,1;D,25,1,20;,;2012;-7,5;20;;;
201202;201202038;I;32;2;0;1;20;25;I,32,1;I,32,1,20;,;2012;-1,5;;23;;
201208;201208074;I;15;3;0;1;20;25;I,15,1;I,15,1,20;,;2012;-2,5;;22;;
201213;201213030;I;19;4;0;1;20;25;I,19,1;I,19,1,20;,;2012;-3,5;;21;;
200601;200601105;D;11;15;0;1;21;6;D,11,1;D,11,1,21;,;2006;-14,5;9;;;
200609;200609140;D;25;8;0;1;21;6;D,25,1;D,25,1,21;,;2006;-7,5;2;;;
200630;200630095;D;36;14;0;1;21;6;D,36,1;D,36,1,21;,;2006;-13,5;8;;;
200703;200703001;D;13;13;0;1;21;6;D,13,1;D,13,1,21;,;2007;-12,5;7;;;
200803;200803015;D;34;10;0;1;21;6;D,34,1;D,34,1,21;,;2008;-9,5;4;;;
200613;200613064;I;18;30;0;1;21;6;I,18,1;I,18,1,21;,;2006;-29,5;;13;;
200706;200706016;I;29;31;0;1;21;6;I,29,1;I,29,1,21;,;2007;-30,5;;12;;
200708;200708076;I;18;30;0;1;21;6;I,18,1;I,18,1,21;,;2007;-29,5;;13;;
200602;200602078;D;6;11;0;1;22;29;D,6,1;D,6,1,22;,;2006;-10,5;19;;;
200625;200625138;I;35;35;0;1;22;29;I,35,1;I,35,1,22;,;2006;-34,5;;31;;
201215;201215066;I;4;5;0;1;22;29;I,4,1;I,4,1,22;,;2012;-4,5;;24;;
200603;200603020;D;2;7;0;1;23;18;D,2,1;D,2,1,23;,;2006;-6,5;26;;;
200610;200610136;D;34;10;0;1;23;18;D,34,1;D,34,1,23;,;2006;-9,5;29;;;
200612;200612064;D;21;6;0;1;23;18;D,21,1;D,21,1,23;,;2006;-5,5;25;;;
200704;200704021;D;27;12;0;1;23;18;D,27,1;D,27,1,23;,;2007;-11,5;31;;;
200605;200605143;I;35;35;0;1;23;18;I,35,1;I,35,1,23;,;2006;-34,5;;20;;
200607;200607143;I;26;37;0;1;23;18;I,26,1;I,26,1,23;,;2006;-36,5;;18;;
200630;200630058;I;9;28;0;1;23;18;I,9,1;I,9,1,23;,;2006;-27,5;;27;;
200702;200702008;I;29;31;0;1;23;18;I,29,1;I,29,1,23;,;2007;-30,5;;24;;
200705;200705066;I;7;32;0;1;23;18;I,7,1;I,7,1,23;,;2007;-31,5;;23;;
200707;200707048;I;18;30;0;1;23;18;I,18,1;I,18,1,23;,;2007;-29,5;;25;;
201215;201215076;I;4;5;0;1;23;18;I,4,1;I,4,1,23;,;2012;-4,5;;13;;
201226;201226074;I;4;5;0;1;23;18;I,4,1;I,4,1,23;,;2012;-4,5;;13;;
200610;200610007;I;35;35;0;1;24;21;I,35,1;I,35,1,24;,;2006;-34,5;;23;;
200610;200610043;I;3;36;0;1;24;21;I,3,1;I,3,1,24;,;2006;-35,5;;22;;
200711;200711028;I;12;34;0;1;24;21;I,12,1;I,12,1,24;,;2007;-33,5;;24;;
200723;200723068;I;3;36;0;1;24;21;I,3,1;I,3,1,24;,;2007;-35,5;;22;;
201209;201210014;I;4;5;0;1;24;21;I,4,1;I,4,1,24;,;2012;-4,5;;16;;
200602;200602152;D;34;10;0;1;25;8;D,34,1;D,34,1,25;,;2006;-9,5;2;;;
200720;200720051;D;8;17;0;1;25;8;D,8,1;D,8,1,25;,;2007;-16,5;9;;;
200722;200722065;D;6;11;0;1;25;8;D,6,1;D,6,1,25;,;2007;-10,5;3;;;
201209;201210009;D;4;5;0;1;25;8;D,4,1;D,4,1,25;,;2012;-4,5;34;;;
201030;201030042;I;4;5;0;1;25;8;I,4,1;I,4,1,25;,;2010;-4,5;;3;;
201220;201220082;I;4;5;0;1;25;8;I,4,1;I,4,1,25;,;2012;-4,5;;3;;
200607;200607062;D;25;8;0;1;26;37;D,25,1;D,25,1,26;,;2006;-7,5;8;;;
200610;200610072;D;27;12;0;1;26;37;D,27,1;D,27,1,26;,;2006;-11,5;12;;;
200613;200613121;D;34;10;0;1;26;37;D,34,1;D,34,1,26;,;2006;-9,5;10;;;
200722;200722031;D;36;14;0;1;26;37;D,36,1;D,36,1,26;,;2007;-13,5;14;;;
200710;200710030;I;29;31;0;1;26;37;I,29,1;I,29,1,26;,;2007;-30,5;;6;;
201227;201227042;I;19;;0;1;26;37;I,19,1;I,19,1,26;,;2012;0,5;;37;;
200625;200625113;D;6;11;0;1;27;12;D,6,1;D,6,1,27;,;2006;-10,5;36;;;
200702;200702013;D;11;15;0;1;27;12;D,11,1;D,11,1,27;,;2007;-14,5;3;;;
200718;200718053;D;11;15;0;1;27;12;D,11,1;D,11,1,27;,;2007;-14,5;3;;;
200731;200731063;D;6;11;0;1;27;12;D,6,1;D,6,1,27;,;2007;-10,5;36;;;
201218;201218023;D;19;4;0;1;27;12;D,19,1;D,19,1,27;,;2012;-3,5;29;;;
210106;210106068;I;32;2;0;1;27;12;I,32,1;I,32,1,27;,;2101;-1,5;;10;;
210103;210103021;D;4;5;0;1;28;33;D,4,1;D,4,1,28;,;2101;-4,5;9;;;
200802;200802066;I;3;36;0;1;28;33;I,3,1;I,3,1,28;,;2008;-35,5;;34;;
200717;200717125;D;13;13;0;1;29;31;D,13,1;D,13,1,29;,;2007;-12,5;19;;;
200725;200725091;D;34;10;0;1;29;31;D,34,1;D,34,1,29;,;2007;-9,5;16;;;
210102;210102059;D;15;3;0;1;29;31;D,15,1;D,15,1,29;,;2101;-2,5;9;;;
210103;210103065;D;19;4;0;1;29;31;D,19,1;D,19,1,29;,;2101;-3,5;10;;;
200722;200722094;I;28;33;0;1;29;31;I,28,1;I,28,1,29;,;2007;-32,5;;35;;
201028;201028070;I;2;7;0;1;29;31;I,2,1;I,2,1,29;,;2010;-6,5;;24;;
210107;210107046;I;4;5;0;1;29;31;I,4,1;I,4,1,29;,;2101;-4,5;11;26;;
200702;200702027;D;5;20;0;1;30;16;D,5,1;D,5,1,30;,;2007;-19,5;4;;;
201217;201217041;D;21;6;0;1;30;16;D,21,1;D,21,1,30;,;2012;-5,5;27;;;
200703;200703056;I;18;30;0;1;30;16;I,18,1;I,18,1,30;,;2007;-29,5;;23;;
200722;200722082;I;29;31;0;1;30;16;I,29,1;I,29,1,30;,;2007;-30,5;;22;;
201211;201211054;I;19;4;0;1;30;16;I,19,1;I,19,1,30;,;2012;-3,5;;12;;
200624;200624045;D;27;12;0;1;31;27;D,27,1;D,27,1,31;,;2006;-11,5;22;;;
201207;201207081;D;19;4;0;1;31;27;D,19,1;D,19,1,31;,;2012;-3,5;14;;;
201208;201208101;D;21;6;0;1;31;27;D,21,1;D,21,1,31;,;2012;-5,5;16;;;
201217;201217058;I;4;5;0;1;31;27;I,4,1;I,4,1,31;,;2012;-4,5;;22;;
200721;200721057;D;34;10;0;1;32;2;D,34,1;D,34,1,32;,;2007;-9,5;8;;;
200726;200726039;D;34;10;0;1;32;2;D,34,1;D,34,1,32;,;2007;-9,5;8;;;
201204;201204031;D;2;7;0;1;32;2;D,2,1;D,2,1,32;,;2012;-6,5;5;;;
210107;210107066;I;15;3;0;1;32;2;I,15,1;I,15,1,32;,;2101;-2,5;1;36;;
200622;200622055;D;34;10;0;1;33;23;D,34,1;D,34,1,33;,;2006;-9,5;24;;;
201209;201210017;D;19;4;0;1;33;23;D,19,1;D,19,1,33;,;2012;-3,5;18;;;
200601;200601068;I;3;36;0;1;33;23;I,3,1;I,3,1,33;,;2006;-35,5;;24;;
200626;200626028;I;7;32;0;1;33;23;I,7,1;I,7,1,33;,;2006;-31,5;;28;;
200617;200617077;D;27;12;0;1;34;10;D,27,1;D,27,1,34;,;2006;-11,5;2;;;
200722;200722083;D;30;16;0;1;34;10;D,30,1;D,30,1,34;,;2007;-15,5;6;;;
201217;201217089;D;15;3;0;1;34;10;D,15,1;D,15,1,34;,;2012;-2,5;30;;;
201203;201203038;I;32;2;0;1;34;10;I,32,1;I,32,1,34;,;2012;-1,5;;8;;
201204;201204008;I;21;6;0;1;34;10;I,21,1;I,21,1,34;,;2012;-5,5;;4;;
200702;200702042;I;28;33;0;1;35;35;I,28,1;I,28,1,35;,;2007;-32,5;;2;;
200711;200711046;I;22;29;0;1;35;35;I,22,1;I,22,1,35;,;2007;-28,5;;6;;
200601;200601037;D;6;11;0;1;36;14;D,6,1;D,6,1,36;,;2006;-10,5;34;;;
200624;200624029;D;34;10;0;1;36;14;D,34,1;D,34,1,36;,;2006;-9,5;33;;;
210103;210103057;D;25;8;0;1;36;14;D,25,1;D,25,1,36;,;2101;-7,5;31;;;
200725;200725098;I;29;31;0;1;36;14;I,29,1;I,29,1,36;,;2007;-30,5;;20;;
200726;200726086;I;35;35;0;1;36;14;I,35,1;I,35,1,36;,;2007;-34,5;;16;;
210106;210106094;I;4;5;0;1;36;14;I,4,1;I,4,1,36;,;2101;-4,5;;9;;
200612;200612045;I;12;34;0,32;2;0;1;I,12,2;I,12,2,0;,;2006;-33;;4;;
201217;201217039;D;4;5;0,32;2;1;24;D,4,2;D,4,2,1;,;2012;-4;18;;;
200705;200705098;I;29;31;0,32;2;2;7;I,29,2;I,29,2,2;,;2007;-30;;13;;
200605;200605056;D;27;12;0,32;2;3;36;D,27,2;D,27,2,3;,;2006;-11;13;;;
200725;200725058;I;3;36;0,32;2;3;36;I,3,2;I,3,2,3;,;2007;-35;;0;;
201227;201227056;I;21;;0,32;2;3;36;I,21,2;I,21,2,3;,;2012;1;;36;;
201208;201208082;I;15;3;0,32;2;4;5;I,15,2;I,15,2,4;,;2012;-2;;2;;
200616;200616027;D;17;9;0,32;2;5;20;D,17,2;D,17,2,5;,;2006;-8;26;;;
200712;200712013;D;11;15;0,32;2;5;20;D,11,2;D,11,2,5;,;2007;-14;32;;;
201208;201208114;I;4;5;0,32;2;5;20;I,4,2;I,4,2,5;,;2012;-4;;15;;
200610;200610070;D;13;13;0,32;2;6;11;D,13,2;D,13,2,6;,;2006;-12;2;;;
200604;200604116;D;2;7;0,32;2;7;32;D,2,2;D,2,2,7;,;2006;-6;12;;;
200712;200712082;I;14;26;0,32;2;8;17;I,14,2;I,14,2,8;,;2007;-25;;28;;
210106;210106001;D;21;6;0,32;2;9;28;D,21,2;D,21,2,9;,;2101;-5;15;;;
200612;200612102;D;25;8;0,32;2;10;19;D,25,2;D,25,2,10;,;2006;-7;26;;;
200616;200616089;D;13;13;0,32;2;11;15;D,13,2;D,13,2,11;,;2006;-12;35;;;
201102;201102051;D;15;3;0,32;2;11;15;D,15,2;D,15,2,11;,;2011;-2;25;;;
200611;200611083;I;3;36;0,32;2;11;15;I,3,2;I,3,2,11;,;2006;-35;;16;;
200611;200611036;D;11;15;0,32;2;12;34;D,11,2;D,11,2,12;,;2006;-14;18;;;
200612;200612044;D;17;9;0,32;2;12;34;D,17,2;D,17,2,12;,;2006;-8;12;;;
200702;200702030;I;28;33;0,32;2;12;34;I,28,2;I,28,2,12;,;2007;-32;;1;;
200728;200728077;D;6;11;0,32;2;13;13;D,6,2;D,6,2,13;,;2007;-10;35;;;
200608;200608034;D;6;11;0,32;2;15;3;D,6,2;D,6,2,15;,;2006;-10;8;;;
201228;201228023;D;19;4;0,32;2;15;18;D,19,2;D,19,2,15;,;2012;-3;23;;;
200720;200720049;D;13;13;0,32;2;17;9;D,13,2;D,13,2,17;,;2007;-12;4;;;
200609;200609025;I;0;1;0,32;2;17;9;I,0,2;I,0,2,17;,;2006;0;;8;;
201208;201208026;I;4;5;0,32;2;17;9;I,4,2;I,4,2,17;,;2012;-4;;4;;
200608;200608086;D;34;10;0,32;2;19;4;D,34,2;D,34,2,19;,;2006;-9;6;;;
201211;201211097;D;2;7;0,32;2;19;4;D,2,2;D,2,2,19;,;2012;-6;3;;;
200723;200723074;I;28;33;0,32;2;19;4;I,28,2;I,28,2,19;,;2007;-32;;8;;
200613;200613087;D;36;14;0,32;2;20;25;D,36,2;D,36,2,20;,;2006;-13;26;;;
201223;201223054;I;4;5;0,32;2;20;25;I,4,2;I,4,2,20;,;2012;-4;;20;;
200603;200603079;I;35;35;0,32;2;21;6;I,35,2;I,35,2,21;,;2006;-34;;8;;
201229;201229114;I;21;6;0,32;2;21;6;I,21,2;I,21,2,21;,;2012;-5;;0;;
200703;200703149;D;11;15;0,32;2;22;29;D,11,2;D,11,2,22;,;2007;-14;23;;;
201221;201221003;D;19;4;0,32;2;23;18;D,19,2;D,19,2,23;,;2012;-3;23;;;
201030;201030025;D;4;5;0,32;2;24;21;D,4,2;D,4,2,24;,;2010;-4;21;;;
200726;200726090;I;7;32;0,32;2;24;21;I,7,2;I,7,2,24;,;2007;-31;;26;;
200712;200712033;D;11;15;0,32;2;25;8;D,11,2;D,11,2,25;,;2007;-14;7;;;
201204;201204051;D;19;4;0,32;2;25;8;D,19,2;D,19,2,25;,;2012;-3;33;;;
200610;200610145;I;3;36;0,32;2;25;8;I,3,2;I,3,2,25;,;2006;-35;;9;;
200616;200616029;D;34;10;0,32;2;26;37;D,34,2;D,34,2,26;,;2006;-9;10;;;
200608;200608031;I;26;37;0,32;2;28;33;I,26,2;I,26,2,28;,;2006;-36;;33;;
200625;200625029;D;36;14;0,32;2;29;31;D,36,2;D,36,2,29;,;2006;-13;20;;;
210107;210107034;I;4;5;0,32;2;30;16;I,4,2;I,4,2,30;,;2101;-4;26;11;;
200609;200609030;D;21;6;0,32;2;31;27;D,21,2;D,21,2,31;,;2006;-5;16;;;
201209;201209077;D;19;4;0,32;2;32;2;D,19,2;D,19,2,32;,;2012;-3;2;;;
210102;210102057;D;19;4;0,32;2;32;2;D,19,2;D,19,2,32;,;2101;-3;2;;;
200610;200610173;I;26;37;0,32;2;32;2;I,26,2;I,26,2,32;,;2006;-36;;2;;
200614;200614040;I;12;34;0,32;2;32;2;I,12,2;I,12,2,32;,;2006;-33;;5;;
200618;200618008;I;28;33;0,32;2;32;2;I,28,2;I,28,2,32;,;2006;-32;;6;;
201028;201028009;D;32;2;0,32;2;33;23;D,32,2;D,32,2,33;,;2010;-1;16;;;
200608;200608105;I;26;37;0,32;2;33;23;I,26,2;I,26,2,33;,;2006;-36;;23;;
200622;200622035;D;17;9;0,32;2;34;10;D,17,2;D,17,2,34;,;2006;-8;36;;;
200718;200718075;D;5;20;0,32;2;34;10;D,5,2;D,5,2,34;,;2007;-19;10;;;
200703;200703117;D;23;18;0,32;2;36;14;D,23,2;D,23,2,36;,;2007;-17;4;;;
200606;200606061;I;35;35;0,32;2;36;14;I,35,2;I,35,2,36;,;2006;-34;;16;;
200706;200706111;D;11;15;32;3;0;1;D,11,3;D,11,3,0;,;2007;-13,5;14;;;
201203;201203023;D;4;5;32;3;0;1;D,4,3;D,4,3,0;,;2012;-3,5;4;;;
201223;201223067;D;19;4;32;3;0;1;D,19,3;D,19,3,0;,;2012;-2,5;3;;;
201227;201227045;D;4;;32;3;0;1;D,4,3;D,4,3,0;,;2012;1,5;36;;;
200625;200625070;I;3;36;32;3;0;1;I,3,3;I,3,3,0;,;2006;-34,5;;2;;
200627;200627006;I;21;6;32;3;0;1;I,21,3;I,21,3,0;,;2006;-4,5;;32;;
201222;201222036;I;21;6;32;3;0;1;I,21,3;I,21,3,0;,;2012;-4,5;;32;;
200725;200725055;D;6;11;32;3;1;24;D,6,3;D,6,3,1;,;2007;-9,5;24;;;
210105;210105085;D;21;6;32;3;1;24;D,21,3;D,21,3,1;,;2101;-4,5;19;;;
201213;201213048;I;21;6;32;3;1;24;I,21,3;I,21,3,1;,;2012;-4,5;;18;;
200723;200723041;D;6;11;32;3;2;7;D,6,3;D,6,3,2;,;2007;-9,5;4;;;
200611;200611003;I;3;36;32;3;2;7;I,3,3;I,3,3,2;,;2006;-34,5;;8;;
200704;200704030;I;28;33;32;3;2;7;I,28,3;I,28,3,2;,;2007;-31,5;;11;;
201218;201218012;I;15;3;32;3;2;7;I,15,3;I,15,3,2;,;2012;-1,5;;4;;
